id,AccX,AccY,AccZ,GyroX,GyroY,GyroZ,Yaw,Pitch,Roll,Pressure,Temperature,Alttitude
1,0.67,-1.12,0.45,89.34,-34.56,123.45,-45.67,12.34,-23.45,1013.25,20.56,0.0
2,0.95,-0.95,0.78,21.84,11.11,17.16,-5.56,-5.56,-3.84,1011.35,5.11,62.5
3,0.34,-0.48,0.3,55.71,-22.3,22.96,-44.85,7.82,-17.78,1009.45,15.37,125.0
4,0.15,-0.56,0.45,21.81,30.37,-37.11,0.08,-11.52,-5.85,1005.66,13.59,250.0
5,-0.74,-0.07,-0.0,55.96,-0.08,7.82,-30.37,1.56,-22.63,1001.88,15.15,375.0
6,-0.33,-0.52,0.7,-14.89,33.74,-44.85,18.6,-14.08,7.82,998.11,11.56,500.0
7,-0.63,0.34,0.22,0.74,-22.63,3.78,-22.63,8.96,-1.56,994.35,9.97,625.0
8,0.23,-0.04,0.56,-59.34,7.82,-22.96,11.52,-7.82,14.08,990.59,6.56,750.0
9,0.04,0.48,-0.3,-25.52,-26.0,33.41,-26.0,1.56,-8.96,986.85,8.41,875.0
10,0.59,-0.37,-0.0,-52.26,30.37,-15.22,-9.22,-21.48,7.82,983.12,11.67,1000.0
11,0.03,-0.18,-0.56,18.6,-0.08,37.45,-43.37,-5.85,-0.41,979.4,13.48,1125.0
12,0.59,-0.67,-0.11,2.96,44.85,-7.48,-2.15,-18.93,22.63,975.69,15.22,1250.0
13,0.07,0.15,-0.7,37.11,-0.41,22.96,-48.56,7.82,5.85,971.99,13.52,1375.0
14,0.41,0.0,-0.18,-22.3,52.26,-33.41,-21.81,-0.41,17.78,968.3,15.11,1500.0
15,-0.45,0.56,-0.3,-6.67,18.11,26.0,-48.56,22.63,-8.96,964.62,11.6,1625.0
16,0.04,-0.23,0.63,-66.74,33.74,-26.67,22.3,5.85,0.41,960.95,10.04,1750.0
17,-0.23,0.07,0.15,-21.81,-37.11,7.48,2.96,17.78,-22.63,957.29,6.63,1875.0
18,0.56,-0.45,0.34,-37.45,-14.07,-33.74,23.45,-8.96,-5.85,953.64,8.41,2000.0
19,-0.0,0.45,-0.48,33.41,-40.82,48.56,-25.19,0.41,-17.78,950.0,11.67,2125.0
20,0.3,0.18,0.07,14.07,7.82,-0.08,-2.15,-22.63,8.96,946.37,13.48,2250.0
21,-0.56,0.67,-0.26,66.74,-37.45,26.67,-37.11,-5.85,-0.41,942.75,15.22,2375.0
22,-0.04,-0.19,0.52,21.81,-10.7,-33.41,-10.37,-17.78,22.63,939.14,13.52,2500.0
23,-0.37,0.0,-0.0,44.85,-59.34,0.41,-33.41,8.96,5.85,935.54,15.11,2625.0
24,0.45,-0.56,0.23,-26.0,-14.07,-55.96,11.52,-0.41,17.78,931.95,11.6,2750.0
25,-0.04,0.3,-0.63,0.74,-40.82,-7.33,-15.22,22.63,-8.96,928.37,10.04,2875.0
26,0.19,0.0,-0.15,-59.34,7.82,-22.96,1.56,5.85,0.41,924.8,6.63,3000.0
27,-0.67,0.52,-0.34,-25.52,-7.82,33.41,-54.82,17.78,-22.63,921.24,8.41,3125.0
28,-0.11,-0.37,0.48,-52.26,48.56,-15.22,-24.37,-8.96,-5.85,917.69,11.67,3250.0
29,-0.3,-0.15,-0.07,18.6,-0.08,37.45,-44.85,0.41,-17.78,914.15,13.48,3375.0
30,0.63,-0.63,0.26,2.96,26.67,-7.48,4.11,-22.63,8.96,910.62,15.22,3500.0
31,0.11,0.23,-0.52,37.11,-18.6,22.96,-37.11,-5.85,-0.41,907.1,13.52,3625.0
32,0.37,0.04,0.0,-33.74,30.04,-33.41,-16.63,-17.78,22.63,903.59,15.11,3750.0
33,-0.45,0.59,-0.23,-18.11,3.29,26.0,-35.97,8.96,5.85,900.09,11.6,3875.0
34,0.04,-0.37,0.67,-52.26,48.56,-26.67,8.96,-0.41,17.78,896.6,10.04,4000.0
35,-0.19,-0.11,0.18,18.6,-0.08,7.48,-15.22,22.63,-8.96,893.12,6.63,4125.0
36,0.67,-0.63,0.3,2.96,15.56,-33.74,4.11,5.85,0.41,889.65,8.41,4250.0
37,0.11,0.26,-0.63,37.11,-40.82,48.56,-52.26,17.78,-22.63,886.19,11.67,4375.0
38,0.37,0.07,-0.07,-22.3,7.82,-0.08,-21.81,-8.96,-5.85,882.74,13.48,4500.0
39,-0.56,0.56,-0.34,-6.67,-37.45,26.67,-44.85,0.41,-17.78,879.3,15.22,4625.0
40,-0.04,-0.3,0.48,-66.74,-10.7,-33.41,1.56,-22.63,8.96,875.87,13.52,4750.0
41,-0.37,-0.11,-0.04,-21.81,-59.34,0.41,-39.67,-5.85,-0.41,872.45,15.11,4875.0
42,0.48,-0.67,0.19,-37.45,-14.07,-55.96,-16.63,-17.78,22.63,869.04,11.6,5000.0
43,-0.0,0.34,-0.63,33.41,-40.82,-7.33,-33.41,8.96,5.85,865.64,10.04,5125.0
44,0.19,0.04,-0.15,14.07,7.82,-22.96,11.52,-0.41,17.78,862.25,6.63,5250.0
45,-0.7,0.56,-0.26,66.74,-7.82,33.41,-15.22,22.63,-8.96,858.87,8.41,5375.0
46,-0.15,-0.37,0.67,21.81,48.56,-15.22,1.56,5.85,0.41,855.5,11.67,5500.0
47,-0.3,-0.15,0.11,44.85,-0.08,37.45,-54.82,17.78,-22.63,852.14,13.48,5625.0
48,0.63,-0.63,0.37,-26.0,15.56,-7.48,-24.37,-8.96,-5.85,848.79,15.22,5750.0
49,0.11,0.23,-0.48,-6.67,-40.82,22.96,-44.85,0.41,-17.78,845.45,13.52,5875.0
50,0.37,0.04,0.04,-66.74,7.82,-33.41,4.11,-22.63,8.96,842.12,15.11,6000.0
51,-0.45,0.59,-0.19,-25.52,-37.45,26.0,-37.11,-5.85,-0.41,838.8,11.6,6125.0
52,0.04,-0.37,0.59,-44.85,-10.7,-26.67,-16.63,-17.78,22.63,835.49,10.04,6250.0
53,-0.19,-0.11,0.11,26.0,-59.34,7.48,-35.97,8.96,5.85,832.19,6.63,6375.0
54,0.67,-0.63,0.45,10.37,-14.07,-33.74,8.96,-0.41,17.78,828.9,8.41,6500.0
55,0.11,0.26,-0.41,44.52,-40.82,48.56,-15.22,22.63,-8.96,825.62,11.67,6625.0
56,0.37,0.07,-0.0,-14.89,7.82,-0.08,4.11,5.85,0.41,822.35,13.48,6750.0
57,-0.56,0.56,-0.48,-6.67,-37.45,26.67,-52.26,17.78,-22.63,819.09,15.22,6875.0
58,-0.04,-0.3,0.34,-66.74,-10.7,-33.41,-21.81,-8.96,-5.85,815.84,13.52,7000.0
59,-0.37,-0.11,-0.04,-21.81,-59.34,0.41,-44.85,0.41,-17.78,812.6,15.11,7125.0
60,0.48,-0.67,0.19,-37.45,-14.07,-55.96,1.56,-22.63,8.96,809.37,11.6,7250.0
61,-0.0,0.34,-0.63,33.41,-40.82,-7.33,-39.67,-5.85,-0.41,806.15,10.04,7375.0
62,0.19,0.04,-0.15,14.07,7.82,-22.96,-16.63,-17.78,22.63,802.94,6.63,7500.0
63,-0.7,0.56,-0.26,66.74,-7.82,33.41,-33.41,8.96,5.85,799.74,8.41,7625.0
64,-0.15,-0.37,0.67,21.81,48.56,-15.22,11.52,-0.41,17.78,796.55,11.67,7750.0
65,-0.3,-0.15,0.11,44.85,-0.08,37.45,-15.22,22.63,-8.96,793.37,13.48,7875.0
66,0.63,-0.63,0.37,-26.0,15.56,-7.48,1.56,5.85,0.41,790.2,15.22,8000.0
67,0.11,0.23,-0.48,-6.67,-40.82,22.96,-54.82,17.78,-22.63,787.04,13.52,8125.0
68,0.37,0.04,0.04,-66.74,7.82,-33.41,-24.37,-8.96,-5.85,783.89,15.11,8250.0
69,-0.45,0.59,-0.19,-25.52,-37.45,26.0,-44.85,0.41,-17.78,780.75,11.6,8375.0
70,0.04,-0.37,0.59,-44.85,-10.7,-26.67,4.11,-22.63,8.96,777.62,10.04,8500.0
71,-0.19,-0.11,0.11,26.0,-59.34,7.48,-37.11,-5.85,-0.41,774.5,6.63,8625.0
72,0.67,-0.63,0.45,10.37,-14.07,-33.74,-16.63,-17.78,22.63,771.39,8.41,8750.0
73,0.11,0.26,-0.41,44.52,-40.82,48.56,-35.97,8.96,5.85,768.29,11.67,8875.0
74,0.37,0.07,-0.0,-14.89,7.82,-0.08,8.96,-0.41,17.78,765.2,13.48,9000.0
75,-0.56,0.56,-0.48,-6.67,-37.45,26.67,-15.22,22.63,-8.96,762.12,15.22,9125.0
76,-0.04,-0.3,0.34,-66.74,-10.7,-33.41,4.11,5.85,0.41,759.05,13.52,9250.0
77,-0.37,-0.11,-0.04,-21.81,-59.34,0.41,-52.26,17.78,-22.63,755.99,15.11,9375.0
78,0.48,-0.67,0.19,-37.45,-14.07,-55.96,-21.81,-8.96,-5.85,752.94,11.6,9500.0
79,-0.0,0.34,-0.63,33.41,-40.82,-7.33,-44.85,0.41,-17.78,749.9,10.04,9625.0
80,0.19,0.04,-0.15,14.07,7.82,-22.96,1.56,-22.63,8.96,746.87,22.15,9750.0
81,-0.37,0.63,-0.26,66.74,-7.82,33.41,-39.67,-5.85,-0.41,577.32,20.45,9875.0
82,0.15,-0.3,0.67,21.81,48.56,-15.22,-16.63,-17.78,22.63,408.52,13.48,9975.0
83,-0.0,-0.07,0.11,44.85,-0.08,37.45,-33.41,8.96,5.85,240.92,15.22,10010.0
84,0.59,-0.63,0.37,-26.0,15.56,-7.48,11.52,-0.41,17.78,240.72,13.52,10016.67
85,0.11,0.23,-0.48,-6.67,-40.82,22.96,-15.22,22.63,-8.96,241.18,25.45,9996.67
86,0.37,0.04,0.04,-66.74,7.82,-33.41,1.56,5.85,0.41,241.15,11.6,10006.67
87,-0.45,0.59,-0.19,-25.52,-37.45,26.0,-54.82,17.78,-22.63,241.45,16.78,10010.0
88,0.04,-0.37,0.59,-44.85,-10.7,-26.67,-24.37,-8.96,-5.85,241.08,11.82,10013.33
89,-0.19,-0.11,0.11,26.0,-59.34,7.48,-44.85,0.41,-17.78,241.22,8.41,10003.33
90,0.67,-0.63,0.45,10.37,-14.07,-33.74,4.11,-22.63,8.96,240.88,10.15,10000.0
91,0.11,0.26,-0.41,44.52,-40.82,48.56,-37.11,-5.85,-0.41,241.22,13.41,10013.33
92,0.37,0.07,-0.0,-14.89,7.82,-0.08,-16.63,-17.78,22.63,241.05,15.22,10016.67
93,-0.56,0.56,-0.48,-6.67,-37.45,26.67,-35.97,8.96,5.85,241.35,13.48,10013.33
94,-0.04,-0.3,0.34,-66.74,-10.7,-33.41,8.96,-0.41,17.78,240.98,11.78,10010.0
95,-0.37,-0.11,-0.04,-21.81,-59.34,0.41,-15.22,22.63,-8.96,241.12,13.37,10013.33
96,0.48,-0.67,0.19,-37.45,-14.07,-55.96,4.11,5.85,0.41,240.78,11.6,10003.33
97,-0.0,0.34,-0.63,33.41,-40.82,-7.33,-52.26,17.78,-22.63,240.92,10.04,10000.0
98,0.19,0.04,-0.15,14.07,7.82,-22.96,-21.81,-8.96,-5.85,240.75,6.63,10013.33
99,-0.37,0.63,-0.26,66.74,-7.82,33.41,-44.85,0.41,-17.78,241.05,8.41,10016.67
100,0.15,-0.3,0.67,21.81,48.56,-15.22,1.56,-22.63,8.96,240.88,11.67,10013.33
101,-0.0,-0.07,0.11,44.85,-0.08,37.45,-39.67,-5.85,-0.41,241.02,13.48,10010.0
102,0.59,-0.63,0.37,-26.0,15.56,-7.48,-16.63,-17.78,22.63,240.85,15.22,10013.33
103,0.11,0.23,-0.48,-6.67,-40.82,22.96,-33.41,8.96,5.85,241.15,13.52,10003.33
104,0.37,0.04,0.04,-66.74,7.82,-33.41,11.52,-0.41,17.78,240.98,25.45,10000.0
105,-0.45,0.59,-0.19,-25.52,-37.45,26.0,-15.22,22.63,-8.96,241.12,11.6,10013.33
106,0.04,-0.37,0.59,-44.85,-10.7,-26.67,1.56,5.85,0.41,240.78,16.78,10016.67
107,-0.19,-0.11,0.11,26.0,-59.34,7.48,-54.82,17.78,-22.63,240.92,11.82,10013.33
108,0.67,-0.63,0.45,10.37,-14.07,-33.74,-24.37,-8.96,-5.85,240.75,8.41,10010.0
109,0.11,0.26,-0.41,44.52,-40.82,48.56,-44.85,0.41,-17.78,241.05,10.15,10013.33
110,0.37,0.07,-0.0,-14.89,7.82,-0.08,4.11,-22.63,8.96,240.88,13.41,10003.33
111,-0.56,0.56,-0.48,-6.67,-37.45,26.67,-37.11,-5.85,-0.41,241.02,15.22,10000.0
112,-0.04,-0.3,0.34,-66.74,-10.7,-33.41,-16.63,-17.78,22.63,240.85,13.48,10013.33
113,-0.37,-0.11,-0.04,-21.81,-59.34,0.41,-35.97,8.96,5.85,241.15,11.78,10016.67
114,0.48,-0.67,0.19,-37.45,-14.07,-55.96,8.96,-0.41,17.78,240.98,23.71,10013.33
115,-0.0,0.34,-0.63,33.41,-40.82,-7.33,-15.22,22.63,-8.96,241.12,11.6,10010.0
116,0.19,0.04,-0.15,14.07,7.82,-22.96,4.11,5.85,0.41,240.78,16.78,10013.33
117,-0.37,0.63,-0.26,66.74,-7.82,33.41,-52.26,17.78,-22.63,240.92,11.82,10003.33
118,0.15,-0.3,0.67,21.81,48.56,-15.22,-21.81,-8.96,-5.85,240.75,8.41,10000.0
119,-0.0,-0.07,0.11,44.85,-0.08,37.45,-44.85,0.41,-17.78,241.05,10.15,10013.33
120,0.59,-0.63,0.37,-26.0,15.56,-7.48,1.56,-22.63,8.96,240.88,13.41,10016.67
121,0.11,0.23,-0.48,-6.67,-40.82,22.96,-39.67,-5.85,-0.41,241.02,15.22,10013.33
122,0.37,0.04,0.04,-66.74,7.82,-33.41,-16.63,-17.78,22.63,240.85,13.48,10010.0
123,-0.45,0.59,-0.19,-25.52,-37.45,26.0,-33.41,8.96,5.85,241.15,11.78,10013.33
124,0.04,-0.37,0.59,-44.85,-10.7,-26.67,11.52,-0.41,17.78,240.98,23.71,10003.33
125,-0.19,-0.11,0.11,26.0,-59.34,7.48,-15.22,22.63,-8.96,241.12,11.6,10000.0
126,0.67,-0.63,0.45,10.37,-14.07,-33.74,1.56,5.85,0.41,240.78,16.78,10013.33
127,0.11,0.26,-0.41,44.52,-40.82,48.56,-54.82,17.78,-22.63,240.92,11.82,10016.67
128,0.37,0.07,-0.0,-14.89,7.82,-0.08,-24.37,-8.96,-5.85,240.75,8.41,10013.33
129,-0.56,0.56,-0.48,-6.67,-37.45,26.67,-44.85,0.41,-17.78,241.05,10.15,10010.0
130,-0.04,-0.3,0.34,-66.74,-10.7,-33.41,4.11,-22.63,8.96,240.88,13.41,10013.33
131,-0.37,-0.11,-0.04,-21.81,-59.34,0.41,-37.11,-5.85,-0.41,241.02,15.22,10003.33
132,0.48,-0.67,0.19,-37.45,-14.07,-55.96,-16.63,-17.78,22.63,240.85,13.48,10000.0
133,-0.0,0.34,-0.63,33.41,-40.82,-7.33,-35.97,8.96,5.85,241.15,11.78,10013.33
134,0.19,0.04,-0.15,14.07,7.82,-22.96,8.96,-0.41,17.78,240.98,23.71,10016.67
135,-0.37,0.63,-0.26,66.74,-7.82,33.41,-15.22,22.63,-8.96,241.12,11.6,10013.33
136,0.15,-0.3,0.67,21.81,48.56,-15.22,4.11,5.85,0.41,240.78,16.78,10010.0
137,-0.0,-0.07,0.11,44.85,-0.08,37.45,-52.26,17.78,-22.63,240.92,11.82,10013.33
138,0.59,-0.63,0.37,-26.0,15.56,-7.48,-21.81,-8.96,-5.85,240.75,8.41,10003.33
139,0.11,0.23,-0.48,-6.67,-40.82,22.96,-44.85,0.41,-17.78,241.05,10.15,10000.0
140,0.37,0.04,0.04,-66.74,7.82,-33.41,1.56,-22.63,8.96,240.88,13.41,10013.33
141,-0.45,0.59,-0.19,-25.52,-37.45,26.0,-39.67,-5.85,-0.41,241.02,15.22,10016.67
142,0.04,-0.37,0.59,-44.85,-10.7,-26.67,-16.63,-17.78,22.63,240.85,13.48,10013.33
143,-0.19,-0.11,0.11,26.0,-59.34,7.48,-33.41,8.96,5.85,241.15,11.78,10010.0
144,0.67,-0.63,0.45,10.37,-14.07,-33.74,11.52,-0.41,17.78,240.98,23.71,10013.33
145,0.11,0.26,-0.41,44.52,-40.82,48.56,-15.22,22.63,-8.96,241.12,11.6,10003.33
146,0.37,0.07,-0.0,-14.89,7.82,-0.08,1.56,5.85,0.41,240.78,16.78,10000.0
147,-0.56,0.56,-0.48,-6.67,-37.45,26.67,-54.82,17.78,-22.63,240.92,11.82,10013.33
148,-0.04,-0.3,0.34,-66.74,-10.7,-33.41,-24.37,-8.96,-5.85,240.75,8.41,10016.67
149,-0.37,-0.11,-0.04,-21.81,-59.34,0.41,-44.85,0.41,-17.78,241.05,10.15,10013.33
150,0.48,-0.67,0.19,-37.45,-14.07,-55.96,4.11,-22.63,8.96,240.88,13.41,10010.0
151,-0.0,0.34,-0.63,33.41,-40.82,-7.33,-37.11,-5.85,-0.41,241.02,15.22,10013.33
152,0.19,0.04,-0.15,14.07,7.82,-22.96,-16.63,-17.78,22.63,240.85,13.48,10003.33
153,-0.37,0.63,-0.26,66.74,-7.82,33.41,-35.97,8.96,5.85,241.15,11.78,10000.0
154,0.15,-0.3,0.67,21.81,48.56,-15.22,8.96,-0.41,17.78,240.98,23.71,10013.33
155,-0.0,-0.07,0.11,44.85,-0.08,37.45,-15.22,22.63,-8.96,241.12,11.6,10016.67
156,0.59,-0.63,0.37,-26.0,15.56,-7.48,4.11,5.85,0.41,240.78,16.78,10013.33
157,0.11,0.23,-0.48,-6.67,-40.82,22.96,-52.26,17.78,-22.63,240.92,11.82,10010.0
158,0.37,0.04,0.04,-66.74,7.82,-33.41,-21.81,-8.96,-5.85,240.75,8.41,10013.33
159,-0.45,0.59,-0.19,-25.52,-37.45,26.0,-44.85,0.41,-17.78,241.05,10.15,10003.33
160,0.04,-0.37,0.59,-44.85,-10.7,-26.67,1.56,-22.63,8.96,240.88,13.41,10000.0
161,-0.19,-0.11,0.11,26.0,-59.34,7.48,-39.67,-5.85,-0.41,241.02,15.22,10013.33
